,Symbol,Name,Sector,Industy
229,HLT,Hilton Worldwide,Consumer Discretionary,HOTELS & MOTELS
230,HOLX,Hologic,Health Care,X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS
231,HD,Home Depot,Consumer Discretionary,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS
232,HON,Honeywell,Industrials,AIRCRAFT ENGINES & ENGINE PARTS
233,HRL,Hormel,Consumer Staples,MEAT PACKING PLANTS
234,HST,Host Hotels & Resorts,Real Estate,REAL ESTATE INVESTMENT TRUSTS
235,HWM,Howmet Aerospace,Industrials,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS
236,HPQ,HP,Information Technology,COMPUTER & OFFICE EQUIPMENT
237,HUM,Humana,Health Care,HOSPITAL & MEDICAL SERVICE PLANS
238,HBAN,Huntington Bancshares,Financials,NATIONAL COMMERCIAL BANKS
239,HII,Huntington Ingalls Industries,Industrials,SHIP & BOAT BUILDING & REPAIRING
240,IBM,IBM,Information Technology,COMPUTER & OFFICE EQUIPMENT
241,IEX,IDEX Corporation,Industrials,PUMPS & PUMPING EQUIPMENT
242,IDXX,Idexx Laboratories,Health Care,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES
243,INFO,IHS Markit,Industrials,
244,ITW,Illinois Tool Works,Industrials,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT
245,ILMN,Illumina,Health Care,LABORATORY ANALYTICAL INSTRUMENTS
246,INCY,Incyte,Health Care,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH
247,IR,Ingersoll Rand,Industrials,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT
248,INTC,Intel,Information Technology,SEMICONDUCTORS & RELATED DEVICES
249,ICE,Intercontinental Exchange,Financials,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES"
250,IFF,International Flavors & Fragrances,Materials,INDUSTRIAL ORGANIC CHEMICALS
251,IP,International Paper,Materials,PAPER MILLS
