,Symbol,Name,Sector,Industy
463,URI,United Rentals,Industrials,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC"
464,UNH,UnitedHealth Group,Health Care,HOSPITAL & MEDICAL SERVICE PLANS
465,UHS,Universal Health Services,Health Care,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC"
466,VLO,Valero Energy,Energy,PETROLEUM REFINING
467,VTR,Ventas,Real Estate,REAL ESTATE INVESTMENT TRUSTS
468,VRSN,Verisign,Information Technology,SERVICES-COMPUTER PROGRAMMING SERVICES
469,VRSK,Verisk Analytics,Industrials,SERVICES-COMPUTER PROCESSING & DATA PREPARATION
470,VZ,Verizon Communications,Communication Services,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)
471,VRTX,Vertex Pharmaceuticals,Health Care,PHARMACEUTICAL PREPARATIONS
472,VFC,VF Corporation,Consumer Discretionary,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS"
473,VIAC,ViacomCBS,Communication Services,
474,VTRS,Viatris,Health Care,PHARMACEUTICAL PREPARATIONS
475,V,Visa,Information Technology,"SERVICES-BUSINESS SERVICES, NEC"
476,VNO,Vornado Realty Trust,Real Estate,REAL ESTATE INVESTMENT TRUSTS
477,VMC,Vulcan Materials,Materials,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS)
478,WRB,W. R. Berkley Corporation,Financials,"FIRE, MARINE & CASUALTY INSURANCE"
479,GWW,W. W. Grainger,Industrials,WHOLESALE-DURABLE GOODS
480,WAB,Wabtec,Industrials,RAILROAD EQUIPMENT
481,WBA,Walgreens Boots Alliance,Consumer Staples,RETAIL-DRUG STORES AND PROPRIETARY STORES
482,WMT,Walmart,Consumer Staples,RETAIL-VARIETY STORES
483,WM,Waste Management,Industrials,REFUSE SYSTEMS
484,WAT,Waters Corporation,Health Care,LABORATORY ANALYTICAL INSTRUMENTS
485,WEC,WEC Energy Group,Utilities,ELECTRIC & OTHER SERVICES COMBINED
486,WFC,Wells Fargo,Financials,NATIONAL COMMERCIAL BANKS
487,WELL,Welltower,Real Estate,REAL ESTATE INVESTMENT TRUSTS
488,WST,West Pharmaceutical Services,Health Care,"FABRICATED RUBBER PRODUCTS, NEC"
489,WDC,Western Digital,Information Technology,COMPUTER STORAGE DEVICES
490,WU,Western Union,Information Technology,"SERVICES-BUSINESS SERVICES, NEC"
491,WRK,WestRock,Materials,PAPERBOARD CONTAINERS & BOXES
492,WY,Weyerhaeuser,Real Estate,REAL ESTATE INVESTMENT TRUSTS
493,WHR,Whirlpool Corporation,Consumer Discretionary,HOUSEHOLD APPLIANCES
494,WMB,Williams Companies,Energy,NATURAL GAS TRANSMISSION
495,WLTW,Willis Towers Watson,Financials,
496,WYNN,Wynn Resorts,Consumer Discretionary,HOTELS & MOTELS
497,XEL,Xcel Energy,Utilities,ELECTRIC & OTHER SERVICES COMBINED
498,XLNX,Xilinx,Information Technology,
499,XYL,Xylem,Industrials,PUMPS & PUMPING EQUIPMENT
500,YUM,Yum! Brands,Consumer Discretionary,RETAIL-EATING PLACES
501,ZBRA,Zebra Technologies,Information Technology,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT
502,ZBH,Zimmer Biomet,Health Care,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES"
503,ZION,Zions Bancorp,Financials,NATIONAL COMMERCIAL BANKS
504,ZTS,Zoetis,Health Care,PHARMACEUTICAL PREPARATIONS
